E:\Data\IMG\center_2024_06_12_00_47_16_717.jpg, E:\Data\IMG\left_2024_06_12_00_47_16_717.jpg, E:\Data\IMG\right_2024_06_12_00_47_16_717.jpg, 0, 0, 0, 7.939379E-05
E:\Data\IMG\center_2024_06_12_00_47_16_819.jpg, E:\Data\IMG\left_2024_06_12_00_47_16_819.jpg, E:\Data\IMG\right_2024_06_12_00_47_16_819.jpg, 0, 0, 0, 7.855935E-05
E:\Data\IMG\center_2024_06_12_00_47_16_923.jpg, E:\Data\IMG\left_2024_06_12_00_47_16_923.jpg, E:\Data\IMG\right_2024_06_12_00_47_16_923.jpg, 0, 0, 0, 7.869761E-05
E:\Data\IMG\center_2024_06_12_00_47_17_024.jpg, E:\Data\IMG\left_2024_06_12_00_47_17_024.jpg, E:\Data\IMG\right_2024_06_12_00_47_17_024.jpg, 0, 0, 0, 7.99911E-05
E:\Data\IMG\center_2024_06_12_00_47_17_130.jpg, E:\Data\IMG\left_2024_06_12_00_47_17_130.jpg, E:\Data\IMG\right_2024_06_12_00_47_17_130.jpg, 0, 0, 0, 7.968549E-05
E:\Data\IMG\center_2024_06_12_00_47_17_232.jpg, E:\Data\IMG\left_2024_06_12_00_47_17_232.jpg, E:\Data\IMG\right_2024_06_12_00_47_17_232.jpg, 0, 0, 0, 7.941063E-05
E:\Data\IMG\center_2024_06_12_00_47_17_332.jpg, E:\Data\IMG\left_2024_06_12_00_47_17_332.jpg, E:\Data\IMG\right_2024_06_12_00_47_17_332.jpg, 0, 0, 0, 7.833818E-05
E:\Data\IMG\center_2024_06_12_00_47_17_432.jpg, E:\Data\IMG\left_2024_06_12_00_47_17_432.jpg, E:\Data\IMG\right_2024_06_12_00_47_17_432.jpg, 0, 0, 0, 8.170406E-05
E:\Data\IMG\center_2024_06_12_00_47_17_535.jpg, E:\Data\IMG\left_2024_06_12_00_47_17_535.jpg, E:\Data\IMG\right_2024_06_12_00_47_17_535.jpg, 0, 0, 0, 7.898246E-05
E:\Data\IMG\center_2024_06_12_00_47_17_640.jpg, E:\Data\IMG\left_2024_06_12_00_47_17_640.jpg, E:\Data\IMG\right_2024_06_12_00_47_17_640.jpg, 0, 0, 0, 7.78462E-05
E:\Data\IMG\center_2024_06_12_00_47_17_745.jpg, E:\Data\IMG\left_2024_06_12_00_47_17_745.jpg, E:\Data\IMG\right_2024_06_12_00_47_17_745.jpg, 0, 0, 0, 7.854644E-05
E:\Data\IMG\center_2024_06_12_00_47_17_846.jpg, E:\Data\IMG\left_2024_06_12_00_47_17_846.jpg, E:\Data\IMG\right_2024_06_12_00_47_17_846.jpg, 0, 0, 0, 7.908695E-05
E:\Data\IMG\center_2024_06_12_00_47_17_948.jpg, E:\Data\IMG\left_2024_06_12_00_47_17_948.jpg, E:\Data\IMG\right_2024_06_12_00_47_17_948.jpg, 0, 0, 0, 8.224617E-05
E:\Data\IMG\center_2024_06_12_00_47_18_051.jpg, E:\Data\IMG\left_2024_06_12_00_47_18_051.jpg, E:\Data\IMG\right_2024_06_12_00_47_18_051.jpg, 0, 0, 0, 8.273995E-05
E:\Data\IMG\center_2024_06_12_00_47_18_152.jpg, E:\Data\IMG\left_2024_06_12_00_47_18_152.jpg, E:\Data\IMG\right_2024_06_12_00_47_18_152.jpg, 0, 0, 0, 7.837464E-05
